0,12.69n
0,99.43n
0,139.17n
0,76.99n
0.1,26.78n
0.1,155.57n
0.1,54.43n
0.1,322.16n
0.1,374.16n
0.1,405.77n
0.1,456.18n
0.1,204.99n
0.1,376.08n
0.1,644.84n
0.2,178.65n
0.2,313.80n
0.2,633.78n
0.2,679.77n
0.2,785.16n
0.2,672.44n
0.2,622.16n
0.2,778.84n
0.2,766.33n
0.2,988.96n
0.2,1.12u
0.3,1.12u
0.3,997.93n
0.3,1.41u
0.3,1.55u
0.3,1.70u
0.3,1.84u
0.3,2.15u
0.3,2.30u
0.3,2.84u
0.3,3.26u
0.3,3.72u
0.4,4.42u
0.4,5.28u
0.4,5.87u
0.4,6.97u
0.4,7.96u
0.4,9.90u
0.4,11.80u
0.4,14.04u
0.4,16.73u
0.4,19.47u
0.4,23.11u
0.4,27.24u
0.5,32.23u
0.5,38.24u
0.5,45.61u
0.5,53.47u
0.5,63.39u
0.5,72.23u
0.5,85.21u
0.5,98.42u
0.5,113.79u
0.5,129.91u
0.5,148.28u
0.5,169.98u
0.5,194.51u
0.5,221.32u
0.6,248.71u
0.6,316.24u
0.6,382.54u
0.6,450.06u
0.6,558.75u
0.6,664.87u
0.6,816.13u
0.6,963.82u
0.6,1.17m
0.6,1.38m
0.6,1.70m
0.7,3.51m
0.7,4.59m
0.7,5.71m
0.7,6.67m
0.7,7.92m
0.7,9.25m
0.7,10.68m
0.7,12.18m
0.8,13.73m
0.8,15.42m
0.8,17.34m
0.8,19.51m
0.8,21.91m
0.8,24.37m
0.8,27.20m
0.8,30.15m
0.8,33.21m
0.8,36.50m
0.8,39.89m
0.8,43.84m
0.8,47.80m
0.9,51.81m
0.9,56.35m
0.9,60.90m
0.9,72.29m
0.9,76.47m
0.9,81.16m
0.9,86.10m
0.9,99.38m
0.9,104.22m
0.9,117.28m
0.9,122.19m
0.9,127.45m
1,142.25m
1,147.37m
1,163.07m
1,168.07m
1,184.13m
1,189.23m
